HF_FNCLTY_MTRAL_RCOGN_NO,DAY_INTK_HIGHLIMIT,DAY_INTK_LOWLIMIT,WT_UNIT,RAWMTRL_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY
2023-40,500 (mg/일),500 (mg/일),mg/일,두충우슬추출복합물(KGC08EA)(제2023-40호),"(1) 성인 남성만 섭취할 것
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 갱년기 남성의 건강에 도움을 줄 수 있음
(영문) May help to maintain male health in menopause"
New제2007-13호,"2,400 (mg)","2,400 (mg)",mg,차조기등복합추출물(기능성원료인정New제2007-13호),,(국문) 관절 건강에 도움을 줄 수 있음(기타기능II) (영문) May help to maintain joint health.
New제2007-15호,1 (g),1 (g),g,바이오게르마늄 효모(기능성원료인정New제2007-15호),"(1) 임산부, 수유여성 및 12세 이하 어린이는 섭취에 주의 (2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 면역기능증진에 도움을 줄 수 있음 (영문) May help to improve immune function
New제2007-23호,2 (g),1 (g),g,PMO 참밀알부민(기능성원료인정New제2007-23호),(1) 소맥알레르기 체질인 사람은 섭취에 주의하여야 합니다.,(국문) PMO 참밀알부민은 급격한 식후 혈당상승을 억제하는데 도움을 줄 수 있습니다 (기타기능II)
제2004-1호,400 (μg),250 (μg),μg,정어리펩타이드 SP100N(기능성원료인정제2004-1호),(1) 고혈압치료제 등 복용 시 전문가와 상담할 것 (2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(국문) 혈압을 조절하는데 도움을 줄 수 있음 (영문) May help to maintain healthy blood pressure
제2004-2호,10 (g),5 (g),g,자일리톨(기능성원료인정제2004-2호),(1) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(국문) 충치발생 위험 감소에 도움을 줌(치아건강) (영문) Can help to reduce risk of caries occurrence(dental health)
제2004-6호,800 (mg),800 (mg),mg,참당귀뿌리추출물(기능성원료인정제2004-6호),"①소화불량, 속쓰림 등이 나타날 수 있습니다.②혈액응고방지제 또는 혈당강하제를 복용하시는 분은 의사의 상담 하에 사용하여 주십시오.",(국문) 노인의 인지능력 저하의 개선에 도움을 줄 수 있음(기타기능II) (영문) May help to improve cognitive function affected by aging-related cognitive decline
제2004-7호,"2,079 (mg)","2,079 (mg)",mg,씨제이 히비스커스 등 복합추출물(기능성원료인정제2004-7호),"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것 (2) 이상사례 발생시 섭취를 중단하고 전문가와 상담할 것",(국문) 체지방 감소에 도움을 줄 수 있음(영문) May help to reduce body fat
제2004-8호,620 (mg),620 (mg),mg,초록입홍합추출오일복합물(기능성원료인정제2004-8호),(1) 임산부 및 수유부는 섭취를 피할 것 (2) 간 질환이 있거나 혈전용해제 등 복용 시 전문가와 상담할 것 (3) 알레르기 체질 등은 개인에 따라 과민반응을 나타낼 수 있음 (4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(국문) 관절건강에 도움이 될 수 있음 (영문) May help to maintain healthy joint
제2005-10호,12 (g),8 (g),g,이소말토올리고당(기능성원료인정제2005-10호),① 과량으로 섭취 시에는 설사를 유발할 수 있습니다.,"(국문) 장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(기타기능II), 배변활동을 원활히 하는데 도움을 줄 수 있음(기타기능II) (영문) May help fat digestion by facilitating the secretion of bile acid, May help to improve bowel movements"
